          target           |                  source                  |     category     
---------------------------+------------------------------------------+------------------
 abbigliamento             | clothing                                 | nounsing
 abbonamento               | subscription                             | noun1
 abete                     | fir tree                                 | noun2m
 abito                     | dress, suit (a...)                       | noun1
 abito                     | dress,suit                               | noun1
 abito                     | suit, dress (a...)                       | noun1
 abitudine                 | habit                                    | noun2f
 accappatoio               | bathrobe                                 | noun1
 acido                     | acid                                     | noun1
 acqua                     | water                                    | noun1
 acqua naturale            | still water                              | nounsingf
 acquisto                  | purchase                                 | noun1
 acrobata                  | acrobat                                  | noun3
 aereo                     | airplane                                 | noun1
 aeroporto                 | airport                                  | noun1
 affare                    | deal                                     | noun2m
 affettati                 | cold cuts                                | nounplm
 affetto                   | affection                                | noun1
 affitto                   | rent                                     | noun1
 agenda                    | planner                                  | noun1
 agente                    | agent,officer                            | noun2m
 agente immobiliare        | real estate agent                        | nounsing
 agenti immobiliari        | real estate agents                       | nounplur
 agenzia                   | agency                                   | noun1
 aglio                     | garlic                                   | noun1
 ago                       | needle                                   | noun1
 agricoltore               | male farmer                              | noun2m
 agricoltrice              | female farmer                            | noun2f
 agricoltura               | agriculture                              | noun1
 aiuola                    | flowerbed                                | noun1
 ala                       | wing                                     | nounsingf
 alba                      | dawn                                     | noun1
 albergo                   | hotel                                    | noun1
 albero                    | tree                                     | noun1
 algebra                   | algebra                                  | nounsingf
 ali                       | wings                                    | nounplf
 alimentari                | general food                             | nounplur
 allenatore                | male coach                               | noun2m
 allenatrice               | female coach                             | noun2f
 alloggio                  | lodging                                  | noun1
 alluvione                 | flood                                    | noun2f
 alunna                    | female pupil                             | noun1
 alunno                    | male pupil                               | noun1
 amante                    | lover, fem.                              | noun2f
 amante                    | lover, masc.                             | noun2m
 ambientalismo             | environmentalism                         | noun1
 ambiente                  | environment                              | noun2m
 ambulanza                 | ambulance                                | noun1
 amica                     | female friend                            | nounsingf
 amiche                    | female friends                           | nounplf
 amici                     | male friend                              | nounplm
 amico                     | male friend                              | nounsingm
 amore                     | love (noun)                              | noun2m
 ananas                    | pineapple                                | nouninvm
 angolo                    | angle,corner                             | noun1
 animale                   | animal                                   | noun2m
 anno                      | year                                     | noun1
 annuncio                  | announcement                             | noun1
 antipasto                 | appetizer                                | noun1
 ape                       | bee                                      | noun2f
 appartamento              | apartment                                | noun1
 applauso                  | applause                                 | noun1
 appuntamento              | appointment                              | noun1
 appunto                   | note                                     | noun1
 arancia                   | orange (fruit)                           | noun1
 arbitro                   | referee                                  | noun1
 archeologia               | archeology                               | noun1
 architetto                | architect                                | noun1
 architettura              | architecture                             | noun1
 arco                      | bow (arrows)                             | noun1
 armadietto                | locker                                   | noun1
 armadio                   | armoir                                   | noun1
 aroma                     | aroma                                    | noun3
 arrampicata               | climb (noun)                             | noun1
 arrivo                    | arrival                                  | noun1
 arrosto                   | roast                                    | noun1
 arte                      | art                                      | noun2f
 ascensore                 | elevator,lift                            | noun2m
 asciugacapelli            | hair dryer                               | nouninvm
 asciugamano               | towel                                    | noun1
 asciugatrice              | dryer                                    | noun2f
 asilo                     | asylum                                   | noun1
 asilo                     | kindergarten                             | noun1
 aspirapolvere             | vacuum cleaner                           | noun2m
 aspirina                  | aspirin                                  | noun1
 assassino                 | assassin, killer                         | noun1
 assegno                   | bank check                               | noun1
 assicurazione             | insurance                                | noun2f
 assolo                    | solo (music)                             | noun1
 assunzione                | hiring                                   | noun2f
 atletica                  | athletics                                | noun1
 attenzione                | attention                                | noun2
 attesa                    | wait                                     | noun1
 attimo                    | instant                                  | noun1
 attività                  | activity                                 | nouninvf
 atto                      | act                                      | noun1
 attore                    | actor                                    | noun2
 attrice                   | actress                                  | noun2f
 aula                      | classroom                                | noun1
 aumento                   | increase                                 | noun1
 autista                   | driver (female)                          | noun1
 autista                   | driver (male)                            | noun3
 autobus                   | bus                                      | nouninvm
 automobile                | car,automobile                           | noun2f
 automobilismo             | car racing                               | noun1
 autore                    | author (male)                            | noun2m
 autostrada                | highway                                  | noun1
 autrice                   | author (female)                          | noun2f
 autunno                   | fall,autumn                              | noun1
 avvenimento               | event (av...)                            | noun1
 avvocato                  | lawyer                                   | noun1
 azienda                   | company (business)                       | noun1
 bacca                     | berry                                    | noun1
 bacheca                   | message board                            | noun1
 bacio                     | kiss                                     | noun1
 bagaglio                  | luggage                                  | noun1
 bagno                     | bathroom                                 | noun1
 bagnoschiuma              | shower gel (masc.)                       | nouninvm
 baita                     | mountain cabin                           | noun1
 balconata                 | dress circle                             | noun1
 balcone                   | balcony                                  | noun2m
 balia                     | nanny                                    | noun1
 ballerina                 | female dancer                            | noun-1-lista-b
 ballerino                 | male dancer                              | noun1
 balletto                  | ballet                                   | noun1
 bambina                   | little girl                              | noun1
 bambino                   | little boy                               | noun1
 banana                    | banana                                   | noun1
 banca                     | bank                                     | noun1
 banco                     | counter, desk                            | noun1
 bancomat                  | ATM                                      | nouninvar
 banconota                 | bank note                                | noun1
 bar                       | bar                                      | nouninvm
 barattolo                 | jar                                      | noun1
 barba                     | beard                                    | noun1
 barca                     | boat                                     | noun1
 barista                   | bartender                                | noun3
 basso                     | bass guitar                              | noun1
 bastone                   | stick, baton                             | noun2m
 batteria                  | drum kit                                 | noun1
 bellezza                  | beauty                                   | noun1
 benessere                 | well being (1 word)                      | noun2m
 benzina                   | gasoline                                 | noun1
 bibita                    | soft drink                               | noun1
 biblioteca                | library                                  | noun1
 bicchiere                 | glass,cup                                | noun2m
 bicicletta                | bicycle                                  | noun1
 bidello                   | custodian                                | noun1
 biglietteria              | ticket office                            | noun1
 biglietto                 | ticket                                   | noun1
 bilocale                  | two room apartment                       | noun2-lista-b
 binario                   | train track                              | noun1
 biologia                  | biology                                  | noun1
 birra                     | beer                                     | noun1
 birreria                  | beer garden                              | noun1
 biscotto                  | cookie                                   | noun1
 bocca                     | mouth                                    | noun1
 bolletta                  | utility bill                             | noun1
 borsa                     | bag                                      | noun1
 borsetta                  | purse                                    | noun1
 bosco                     | forest, woods                            | noun1
 bottiglia                 | bottle                                   | noun1
 braccio                   | arm                                      | nounneutr
 briciola                  | crumb                                    | noun1
 brindisi                  | toast                                    | nouninvm
 bruciore                  | burn                                     | noun2m
 bucato                    | laundry                                  | nounsing
 buffone                   | buffoon                                  | noun2m
 buio                      | darkness                                 | noun1
 burro                     | butter                                   | noun1
 busta                     | envelope                                 | noun1
 cacca                     | crap                                     | noun1
 caffettiera               | coffee maker                             | noun1
 caffè                     | coffee                                   | nouninvm
 calciatore                | male soccer player                       | noun2m
 calciatrice               | female soccer player                     | noun2f
 calcio                    | soccer,kick                              | noun1
 calza                     | sock                                     | noun1
 calzino                   | sock                                     | noun1
 camera                    | c...- room                               | noun1
 cameriera                 | waitress                                 | noun1
 cameriere                 | waiter                                   | noun2m
 camicetta                 | blouse                                   | noun1
 camicia                   | dress shirt                              | noun1
 camion                    | truck                                    | nouninvm
 camionista                | truck driver                             | noun3
 campagna                  | countryside                              | noun1
 campanella                | school bell                              | noun1
 campeggio                 | camping site                             | noun1
 campo                     | field                                    | noun1
 canale                    | channel,canal                            | noun2m
 candidata                 | female candidate                         | noun1
 candidato                 | male candidate                           | noun1
 cane                      | dog                                      | noun2m
 canottiera                | tank top                                 | noun1
 cantante                  | singer                                   | noun2
 cantina                   | cellar                                   | noun1
 canzone                   | song                                     | noun2f
 caos                      | chaos                                    | nouninvm
 capacità                  | ability                                  | nouninvf
 caparra                   | deposit                                  | noun1
 capelli                   | hair                                     | noun1s2p
 capello                   | single hair                              | noun1
 capo                      | boss, chief                              | noun1
 capodanno                 | New Year's Eve                           | noun1
 capolavoro                | masterpiece                              | noun1
 capolinea                 | end of the bus line                      | noun1
 capoluogo                 | regional capital city                    | noun1
 cappello                  | hat                                      | noun1
 cappotto                  | coat                                     | noun1
 cappuccino                | cappuccino                               | noun1
 capra                     | goat                                     | noun1
 caraffa                   | caraffe,pitcher                          | noun1
 carciofo                  | artichoke                                | noun1
 carica batteria           | battery charger                          | nouninvm
 carie                     | cavity                                   | nouninvf
 carne                     | meat                                     | noun2f
 carota                    | carot                                    | noun1
 carriera                  | career                                   | noun1
 carta                     | paper                                    | noun1
 carte                     | cards                                    | nounplf
 cartella                  | folder                                   | noun1
 cartina                   | map                                      | noun1
 cartina                   | map (c...)                               | noun1
 cartoleria                | stationery store                         | noun1
 cartolina                 | post card                                | noun1
 casa                      | house,home                               | noun1
 casalinga                 | housewife                                | noun1
 casalingo                 | househusband                             | noun1
 cascata                   | cascade,waterfall                        | noun1
 casino                    | chaos                                    | noun1
 casolare                  | farmhouse                                | noun2m
 cassetta delle lettere    | mailbox                                  | noun1
 cassettiera               | dresser                                  | noun1
 cassetto                  | drawer                                   | noun1
 castello                  | castle                                   | noun1
 catastrofe                | catastrophe                              | noun2f
 cavallo                   | horse                                    | noun1
 cavia                     | guinea pig                               | noun1
 cellulare                 | cell phone                               | noun2m
 cena                      | dinner                                   | noun1
 cenere                    | ash                                      | noun2f
 centesimo                 | cent,hundredth part                      | noun1
 centro                    | centre                                   | noun1
 centro commerciale        | shopping mall                            | phrasal-noun
 centro storico            | historical city centre                   | phrasal-noun
 cereali                   | cereal (pl. in It.)                      | nounplm
 cervo                     | deer                                     | noun1
 cespuglio                 | bush                                     | noun1
 cestino                   | wastebasket                              | noun1
 chiacchierata             | chat (noun)                              | noun1
 chiacchierona             | female chatterbox                        | noun1
 chiacchierone             | male chatterbox                          | noun2m
 chiave                    | key                                      | noun2f
 chiesa                    | church                                   | noun1
 chilo                     | kilo                                     | noun1
 chilometro                | kilometer                                | noun1
 chimica                   | chemistry                                | noun1
 chiosco                   | kiosk                                    | noun1
 chirurgo                  | surgeon                                  | noun1
 chitarra                  | guitar                                   | noun1
 chitarrista               | guitarist                                | noun3
 ci                        | there, before a verb                     | pronoun
 ciambella                 | doughnut                                 | noun1
 cibo                      | food                                     | noun1
 ciclismo                  | the sport of cycling                     | nouninvm
 ciclone                   | cyclone                                  | noun2m
 cielo                     | sky                                      | noun1
 ciglia                    | eyelashes                                | nounplf
 ciglio                    | eye lash                                 | nounsingm
 cinema                    | movie theatre                            | nouninvm
 cintura                   | belt                                     | noun1
 cioccolata                | chocolate                                | noun1
 cipolla                   | onion                                    | noun1
 cipresso                  | cypress                                  | noun1
 città                     | city                                     | nouninvf
 ciuffo                    | hair - tuft                              | noun1
 clarinetto                | clarinet                                 | noun1
 classe                    | class                                    | noun2f
 cliente                   | client,customer                          | noun2m
 clima                     | climate,weather                          | noun3
 coda                      | tail, line (of people or cars)           | noun1
 cofano                    | hood                                     | noun1
 cognato                   | brother in law                           | noun1
 cognome                   | last name                                | noun2m
 coincidenza               | coincidence                              | noun1
 colazione                 | breakfast                                | noun2f
 collana                   | necklace                                 | noun1
 collezione                | collection                               | noun2f
 collina                   | hill                                     | noun1
 collo                     | neck                                     | noun1
 colloquio                 | job interview                            | noun1
 colomba                   | dove                                     | noun1
 colore                    | color                                    | noun2m
 colpevolezza              | culpability                              | noun1
 coltello                  | knife                                    | noun1
 commedia                  | comedy                                   | noun1
 commessa                  | sales woman                              | noun1
 commesso                  | sales man                                | noun1
 commissione               | commission                               | noun2f
 comodino                  | night stand                              | noun1
 compagna                  | female partner, female mate              | noun1
 compagna di classe        | female classmate                         | nounsingf
 compagne di classe        | female classmates                        | nounplf
 compagni di classe        | male roommates                           | nounplm
 compagnia                 | company                                  | noun1
 compagno                  | male partner, male mate                  | noun1
 compagno di classe        | male roommate                            | nounsingm
 competenza                | competence                               | noun1
 compito                   | homework                                 | noun1
 compleanno                | birthday                                 | noun1
 compositore               | male composer                            | noun2m
 compositrice              | female composer                          | noun2
 compressa                 | pill,tablet                              | noun1
 compromesso               | compromise                               | noun1
 comune                    | town hall                                | noun2m
 concerto                  | concert                                  | noun1
 condanna                  | condemnation                             | noun1
 condizione                | condition                                | noun2
 confine                   | border                                   | noun2m
 congelatore               | freezer                                  | noun2m
 coniglio                  | rabbit                                   | noun1
 consiglio                 | advice                                   | noun1
 consulente                | consultant                               | noun2
 contabile                 | accountant                               | noun2
 contadina                 | female farmer                            | noun1
 contadino                 | male farmer                              | noun1
 contanti                  | cash                                     | nounplm
 contatto                  | contact                                  | noun1
 contea                    | county                                   | noun1
 conto                     | account                                  | noun1
 contorno                  | side dish                                | noun1
 contratto                 | contract                                 | noun1
 controllo                 | control,check                            | noun1
 conversazione             | conversation                             | noun2f
 convinzione               | conviction                               | noun2f
 coperta                   | blanket                                  | noun1
 coppia                    | couple                                   | noun1
 coraggio                  | courage                                  | noun1
 coro                      | choir,chorus                             | noun1
 corpo                     | body                                     | noun1
 corridoio                 | corridor                                 | noun1
 corso                     | course                                   | noun1
 cortesia                  | courtesy                                 | noun1
 cortile                   | courtyard,quad                           | noun2m
 cosa                      | thing                                    | noun1
 coscienza                 | awareness                                | noun1
 coscienza                 | conscience, awareness                    | noun1
 costa                     | coast                                    | noun1
 costruzione               | construction                             | noun2f
 cotone                    | cotton                                   | noun2m
 cottura                   | cooking                                  | noun1
 cravatta                  | neck tie                                 | noun1
 cravatta                  | necktie                                  | noun1
 credenza                  | cupboard                                 | noun1
 credito                   | credit                                   | noun1
 crema                     | cream                                    | noun1
 crema                     | cream,lotion                             | noun1
 cretino                   | jerk                                     | noun1
 criminale                 | criminal (noun)                          | noun
 crimine                   | crime                                    | noun2m
