          target           |                         source                          |      category       
---------------------------+---------------------------------------------------------+---------------------
 Agile                     | Agile                                                   | adj2
 a casa                    | at home, to the home                                    | place
 a causa di                | because of                                              | phrase
 a condizione che          | provided that (condition)                               | conj+subj
 a destra                  | on the right,to the right                               | phrase
 a dieta                   | on a diet                                               | phrase
 a domani                  | till tomorrow                                           | greet
 a dopo                    | till later                                              | greet
 a due passi da            | very close to                                           | phrase
 a letto                   | to bed,in bed                                           | place
 a lezione                 | to class,in class                                       | place
 a lungo                   | for a long time (2 words)                               | adv
 a mano                    | by hand                                                 | advphrase
 a memoria                 | by memory                                               | phrasee
 a meno che                | unless                                                  | conj+non+subj
 a mezzanotte              | at midnight                                             | phrase
 a mezzogiorno             | at noon                                                 | phrase
 a mezzogiorno             | noon                                                    | phrasetemp
 a mio agio                | I am at ease                                            | phrase
 a patto che               | provided that (pact)                                    | conj+subj
 a piedi                   | on foot,walking                                         | phrase
 a più tardi               | see you later                                           | greet
 a più tardi               | till later,see you later                                | greet
 a presto                  | see you soon                                            | greet
 a presto                  | till soon,see you soon                                  | greet
 a proposito               | by the way                                              | phrase
 a righe                   | striped                                                 | adjinvar
 a scuola                  | to school,in school                                     | place
 a sinistra                | on the left,to the left                                 | phrase
 a suo agio                | at (his,her) ease                                       | phrase
 a tavola                  | at the table,to the table                               | place
 a teatro                  | to the theatre,at the theatre                           | place
 a tempo parziale          | part time                                               | phrase
 a tempo pieno             | full time                                               | phrase
 a tinta unita             | solid color                                             | adjinvar
 a volte                   | at times                                                | adv-freq
 abbandonare               | to abandon                                              | verb
 abbastanza                | enough,sort of                                          | adv
 abbigliamento             | clothing                                                | nounsing
 abbonamento               | subscription                                            | noun1
 abbracciare               | to hug, to embrace                                      | verb
 abete                     | fir tree                                                | noun2m
 abitare                   | to live (a...)                                          | verb
 abito                     | dress, suit (a...)                                      | noun1
 abito                     | dress,suit                                              | noun1
 abito                     | suit, dress (a...)                                      | noun1
 abitudine                 | habit                                                   | noun2f
 accanto a                 | next to (ac...)                                         | phrase
 accappatoio               | bathrobe                                                | noun1
 accidenti                 | darn                                                    | excl
 accompagnare              | to accompany                                            | verb
 accorgersi                | to realize, become aware                                | verb
 accorto                   | past of accorgersi                                      | verb
 acido                     | acid                                                    | noun1
 acido                     | acidic                                                  | adj1
 acqua                     | water                                                   | noun1
 acqua naturale            | still water                                             | nounsingf
 acquisto                  | purchase                                                | noun1
 acrobata                  | acrobat                                                 | noun3
 adesso                    | now (a...)                                              | adv
 aereo                     | airplane                                                | noun1
 aeroporto                 | airport                                                 | noun1
 affare                    | deal                                                    | noun2m
 affatto                   | at all                                                  | adv
 affettati                 | cold cuts                                               | nounplm
 affetto                   | affection                                               | noun1
 affiatato                 | well coordinated (1 word )                              | adj1
 affinché                  | so that                                                 | conj+subj
 affittare                 | to rent                                                 | verb
 affitto                   | rent                                                    | noun1
 affollato                 | crowded                                                 | adj1
 affumicato                | smoked                                                  | adj1
 agenda                    | planner                                                 | noun1
 agente                    | agent,officer                                           | noun2m
 agente immobiliare        | real estate agent                                       | nounsing
 agenti immobiliari        | real estate agents                                      | nounplur
 agenzia                   | agency                                                  | noun1
 agenzia immobiliare       | real estate agency                                      | phrase
 aggiungere                | to add                                                  | verb
 aggressivo                | aggressive                                              | adj1
 agitato                   | agitated                                                | adj1
 aglio                     | garlic                                                  | noun1
 ago                       | needle                                                  | noun1
 agosto                    | August                                                  | month
 agricoltore               | male farmer                                             | noun2m
 agricoltrice              | female farmer                                           | noun2f
 agricoltura               | agriculture                                             | noun1
 agrodolce                 | sweet and sour                                          | adjinvar
 aiuola                    | flowerbed                                               | noun1
 al bar                    | at/to the bar                                           | locphrase
 al cinema                 | at the movie theatre,to the movie theatre               | place
 al completo               | no more room, complete                                  | phrase
 al contrario              | on the contrary                                         | advphrase
 al contrario              | on the contrary, the other way round                    | adv
 al contrario              | the other way round                                     | advphrase
 al dettaglio              | retail                                                  | phrase
 al fiume                  | at/to the river                                         | place
 al lago                   | at/to the lake                                          | place
 al lavoro                 | at work                                                 | place
 al mare                   | to the sea, by the sea                                  | place
 al mattino                | in the morning                                          | phrasetemp
 al più presto             | as soon as possible                                     | phrase
 al vapore                 | steamed                                                 | adjinvar
 ala                       | wing                                                    | nounsingf
 alba                      | dawn                                                    | noun1
 albergo                   | hotel                                                   | noun1
 albero                    | tree                                                    | noun1
 alcuni                    | a few                                                   | adjplur1
 alcuni                    | a few,some (a... masc.)                                 | adjplur1
 algebra                   | algebra                                                 | nounsingf
 ali                       | wings                                                   | nounplf
 alimentari                | general food                                            | nounplur
 all'estero                | abroad                                                  | phrase
 all'inizio                | at the beginning, at first                              | phrase
 all'italiana              | Italian style                                           | phrase
 alla fine                 | eventually, at the end                                  | adv
 alla griglia              | grilled                                                 | adj-invar
 alla pensione             | boarding house style                                    | phrase
 alla prossima             | see you next time                                       | greet
 alla spiaggia             | beach                                                   | place
 allegramente              | cheerfully                                              | adv
 allegro                   | cheerful                                                | adj1
 allenatore                | male coach                                              | noun2m
 allenatrice               | female coach                                            | noun2f
 allergico                 | allergic                                                | adj1
 alloggio                  | lodging                                                 | noun1
 allora                    | then,so                                                 | adv
 allungare                 | to elongate, stretch                                    | verb
 alluvione                 | flood                                                   | noun2f
 alto                      | tall,high                                               | adj1
 altrimenti                | otherwise                                               | adv
 altro                     | other                                                   | adj1
 altroché                  | absolutely                                              | conj
 alunna                    | female pupil                                            | noun1
 alunno                    | male pupil                                              | noun1
 alzarsi                   | to get up                                               | verb
 amante                    | lover, fem.                                             | noun2f
 amante                    | lover, masc.                                            | noun2m
 amare                     | to love                                                 | verb
 amaro                     | bitter                                                  | adj1
 ambientalismo             | environmentalism                                        | noun1
 ambientarsi               | to adapt (to the environment)                           | verb
 ambiente                  | environment                                             | noun2m
 ambulanza                 | ambulance                                               | noun1
 americano                 | American                                                | adj1
 amica                     | female friend                                           | nounsingf
 amiche                    | female friends                                          | nounplf
 amici                     | male friend                                             | nounplm
 amico                     | male friend                                             | nounsingm
 ammazzare                 | to kill (a...)                                          | verb
 amore                     | love (noun)                                             | noun2m
 ananas                    | pineapple                                               | nouninvm
 anche                     | also,too                                                | conj
 anche se                  | even if                                                 | conj
 ancora                    | still,yet, again                                        | conj
 andare a trovare          | to go visit                                             | phrase
 andata e ritorno          | round trip                                              | phrase
 angolo                    | angle,corner                                            | noun1
 animale                   | animal                                                  | noun2m
 anno                      | year                                                    | noun1
 annoiarsi                 | to get bored                                            | verb
 annuncio                  | announcement                                            | noun1
 antico                    | ancient                                                 | adj1
 antipasto                 | appetizer                                               | noun1
 antipatico                | unlikeable                                              | adj1
 ape                       | bee                                                     | noun2f
